President,Date,Ordernumber,Description
Ronald Reagan,29-Jun-81,Executive Order 12311,Amending the Generalized System of Preferences
Ronald Reagan,2-Jul-81,Executive Order 12312,The Meritorious Service Medal
Ronald Reagan,13-Jul-81,Executive Order 12313,Specification of Hostage Return Date Under Hostage Relief Act of 1980
Ronald Reagan,22-Jul-81,Executive Order 12314,Federal Regional Councils
Ronald Reagan,29-Jul-81,Executive Order 12315,"Amendments to the Manual for Courts-Martial, United States, 1969 (Revised Edition)"
Ronald Reagan,14-Aug-81,Executive Order 12316,Responses to Environmental Damage
Ronald Reagan,14-Aug-81,Executive Order 12317,President's Commission on Hostage Compensation
Ronald Reagan,21-Aug-81,Executive Order 12318,Statistical Policy Functions
Ronald Reagan,9-Sep-81,Executive Order 12319,River Basin Commissions
Ronald Reagan,14-Sep-81,Executive Order 12321,Foreign Assistance and Arms Export Control
Ronald Reagan,15-Sep-81,Executive Order 12320,Historically Black Colleges and Universities
Ronald Reagan,17-Sep-81,Executive Order 12322,Water Resources Projects
Ronald Reagan,22-Sep-81,Executive Order 12323,Presidential Commission on Broadcasting to Cuba
Ronald Reagan,29-Sep-81,Executive Order 12324,Interdiction of Illegal Aliens
Ronald Reagan,30-Sep-81,Executive Order 12325,Presidential Task Force on the Arts and Humanities
Ronald Reagan,30-Sep-81,Executive Order 12326,Central Intelligence Agency Retirement and Disability System
Ronald Reagan,1-Oct-81,Executive Order 12327,Exemption for Fort Allen
Ronald Reagan,8-Oct-81,Executive Order 12328,Federal Employees Contracting or Trading With Indians
Ronald Reagan,14-Oct-81,Executive Order 12329,President's Task Force on Private Sector Initiatives
Ronald Reagan,15-Oct-81,Executive Order 12330,Adjustments of Certain Rates of Pay and Allowances
Ronald Reagan,20-Oct-81,Executive Order 12331,President's Foreign Intelligence Advisory Board
Ronald Reagan,10-Nov-81,Executive Order 12332,Establishment of the National Productivity Advisory Committee
Ronald Reagan,4-Dec-81,Executive Order 12333,United States Intelligence Activities
Ronald Reagan,4-Dec-81,Executive Order 12334,President's Intelligence Oversight Board
Ronald Reagan,16-Dec-81,Executive Order 12335,National Commission on Social Security Reform
Ronald Reagan,21-Dec-81,Executive Order 12336,Task Force on Legal Equity for Women
Ronald Reagan,11-Jan-82,Executive Order 12337,Basic Allowance for Subsistence for Uniformed Services
Ronald Reagan,11-Jan-82,Executive Order 12338,Exclusions From the Federal Labor- Management Relations Program
Ronald Reagan,13-Jan-82,Executive Order 12339,President's Commission on Housing
Ronald Reagan,20-Jan-82,Executive Order 12340,"Amendments to the Manual for Courts- Martial, United States, 1969 (Revised Edition)"
Ronald Reagan,21-Jan-82,Executive Order 12341,Cuban and Haitian Entrants
Ronald Reagan,27-Jan-82,Executive Order 12342,Environmental Safeguards for Animal Damage Control on Federal Lands
Ronald Reagan,27-Jan-82,Executive Order 12343,Designation of Certain Officers To Act as Secretary of State
Ronald Reagan,1-Feb-82,Executive Order 12344,Naval Nuclear Propulsion Program
Ronald Reagan,2-Feb-82,Executive Order 12345,Physical Fitness and Sports
Ronald Reagan,8-Feb-82,Executive Order 12346,Synthetic Fuels
Ronald Reagan,23-Feb-82,Executive Order 12347,Agreement on Government Procurement
Ronald Reagan,25-Feb-82,Executive Order 12348,Federal Real Property
Ronald Reagan,26-Feb-82,Executive Order 12349,Amending the Generalized System of Preferences
Ronald Reagan,9-Mar-82,Executive Order 12350,Termination of Urban and Community Impact Analyses
Ronald Reagan,9-Mar-82,Executive Order 12351,Nuclear Cooperation With EURATOM
Ronald Reagan,17-Mar-82,Executive Order 12352,Federal Procurement Reforms
Ronald Reagan,23-Mar-82,Executive Order 12353,Charitable Fund-Raising
Ronald Reagan,30-Mar-82,Executive Order 12354,Amending the Generalized System of Preferences
Ronald Reagan,1-Apr-82,Executive Order 12355,The Task Force on Legal Equity for Women
Ronald Reagan,2-Apr-82,Executive Order 12356,National Security Information
Ronald Reagan,6-Apr-82,Executive Order 12357,Sinai Support Mission
Ronald Reagan,14-Apr-82,Executive Order 12358,Presidential Commission on Drunk Driving
Ronald Reagan,22-Apr-82,Executive Order 12359,"Public International Organizations Entitled To Enjoy Privileges, Exemptions, and Immunities"
Ronald Reagan,23-Apr-82,Executive Order 12360,President's Task Force on Victims of Crime
Ronald Reagan,27-Apr-82,Executive Order 12361,Multinational Force and Observers Reports
Ronald Reagan,12-May-82,Executive Order 12362,Overseas Employment
Ronald Reagan,21-May-82,Executive Order 12363,The Foreign Service of the United States
Ronald Reagan,24-May-82,Executive Order 12364,The Presidential Management Intern Program
Ronald Reagan,24-May-82,Executive Order 12365,Foreign Assistance and Arms Control
Ronald Reagan,25-May-82,Executive Order 12366,Presidential Commission on Broadcasting to Cuba
Ronald Reagan,15-Jun-82,Executive Order 12367,President's Committee on the Arts and the Humanities
Ronald Reagan,24-Jun-82,Executive Order 12368,Drug Abuse Policy Functions
Ronald Reagan,30-Jun-82,Executive Order 12369,President's Private Sector Survey on Cost Control in the Federal Government
Ronald Reagan,8-Jul-82,Executive Order 12370,Establishment of Emergency Board No. 194 To Investigate a Railroad Labor Dispute
Ronald Reagan,12-Jul-82,Executive Order 12371,Amending the Generalized System of Preferences
Ronald Reagan,14-Jul-82,Executive Order 12372,Intergovernmental Review of Federal Programs
Ronald Reagan,21-Jul-82,Executive Order 12373,Establishment of Emergency Board No. 195 To Investigate a Railroad Labor Dispute
Ronald Reagan,28-Jul-82,Executive Order 12374,Reports on International Organizations
Ronald Reagan,4-Aug-82,Executive Order 12375,Motor Vehicles
Ronald Reagan,5-Aug-82,Executive Order 12376,Presidential Commission on Drunk Driving
Ronald Reagan,6-Aug-82,Executive Order 12377,Joint Mexican-United States Defense Commission
Ronald Reagan,6-Aug-82,Executive Order 12378,President's Committee on the Arts and the Humanities
Ronald Reagan,17-Aug-82,Executive Order 12379,"Termination of Boards, Committees, and Commissions"
Ronald Reagan,18-Aug-82,Executive Order 12380,Submarine Duty Incentive Pay
Ronald Reagan,8-Sep-82,Executive Order 12381,Delegation of Emergency Management Functions
Ronald Reagan,13-Sep-82,Executive Order 12382,President's National Security Telecommunications Advisory Committee
Ronald Reagan,23-Sep-82,Executive Order 12383,"Amendments to the Manual for Courts- Martial, United States, 1969 (Revised Edition)"
Ronald Reagan,1-Oct-82,Executive Order 12384,Establishment of Emergency Board No. 196 To Investigate a Railroad Labor Dispute
Ronald Reagan,1-Oct-82,Executive Order 12385,Establishment of Emergency Board No. 197 To Investigate a Railroad Labor Dispute
Ronald Reagan,1-Oct-82,Executive Order 12386,Establishment of Emergency Board No. 198 To Investigate a Railroad Labor Dispute
Ronald Reagan,8-Oct-82,Executive Order 12387,Adjustments of Certain Rates of Pay and Allowances
Ronald Reagan,14-Oct-82,Executive Order 12388,United States Information Agency
Ronald Reagan,25-Oct-82,Executive Order 12389,Amending the Generalized System of Preferences
Ronald Reagan,25-Oct-82,Executive Order 12390,Delegation to the Secretary of State
Ronald Reagan,4-Nov-82,Executive Order 12391,Partial Suspension of Federal Service Labor-Management Relations
Ronald Reagan,15-Nov-82,Executive Order 12392,International Financial Institutions
Ronald Reagan,16-Nov-82,Executive Order 12393,Establishment of Emergency Board No. 199 To Investigate a Railroad Labor Dispute
Ronald Reagan,18-Nov-82,Executive Order 12394,Incentive Pay for Hazardous Duty
Ronald Reagan,20-Nov-82,Executive Order 12395,International Private Enterprise Task Force
Ronald Reagan,9-Dec-82,Executive Order 12396,Defense Officer Personnel Management
Ronald Reagan,23-Dec-82,Executive Order 12397,National Commission on Social Security Reform
Ronald Reagan,31-Dec-82,Executive Order 12398,President's Private Sector Survey on Cost Control in the Federal Government
Ronald Reagan,31-Dec-82,Executive Order 12399,Continuance of Certain Federal Advisory Committees
Ronald Reagan,3-Jan-83,Executive Order 12400,President's Commission on Strategic Forces
Ronald Reagan,14-Jan-83,Executive Order 12401,Presidential Commission on Indian Reservation Economies
Ronald Reagan,15-Jan-83,Executive Order 12402,National Commission on Social Security Reform
Ronald Reagan,8-Feb-83,Executive Order 12403,African Development Bank
Ronald Reagan,10-Feb-83,Executive Order 12404,Charitable Fund-Raising
Ronald Reagan,14-Feb-83,Executive Order 12405,Establishment of Emergency Board No. 200 To Investigate a Railroad Labor Dispute
Ronald Reagan,18-Feb-83,Executive Order 12406,President's Commission on Strategic Forces
Ronald Reagan,22-Feb-83,Executive Order 12407,Federal Regional Councils
Ronald Reagan,23-Feb-83,Executive Order 12408,Reports on International Organizations
Ronald Reagan,7-Mar-83,Executive Order 12409,Nuclear Cooperation with EURATOM
Ronald Reagan,28-Mar-83,Executive Order 12410,Exclusions From the Federal Labor- Management Relations Program
Ronald Reagan,29-Mar-83,Executive Order 12411,Government Work Space Management Reforms
Ronald Reagan,29-Mar-83,Executive Order 12412,Peace Corps Advisory Council
Ronald Reagan,30-Mar-83,Executive Order 12413,Amending the Generalized System of Preferences
Ronald Reagan,4-Apr-83,Executive Order 12414,Establishment of Emergency Board No. 201 To Investigate a Railroad Labor Dispute
Ronald Reagan,5-Apr-83,Executive Order 12415,Extension of the Presidential Commission on Drunk Driving
Ronald Reagan,8-Apr-83,Executive Order 12416,Intergovernmental Review of Federal Programs
Ronald Reagan,2-May-83,Executive Order 12417,Strategic and Critical Materials
Ronald Reagan,5-May-83,Executive Order 12418,Transfer of Functions Relating to Financial Responsibility of Vessels for Pollution Liability
Ronald Reagan,5-May-83,Executive Order 12419,Implementation of the International Convention on Tonnage Measurement of Ships
Ronald Reagan,11-May-83,Executive Order 12420,Incentive Pay for Hazardous Duty
Ronald Reagan,12-May-83,Executive Order 12421,Presidential Commission on the Conduct of United States-Japan Relations
Ronald Reagan,20-May-83,Executive Order 12422,Level IV of the Executive Schedule
Ronald Reagan,26-May-83,Executive Order 12423,Foreign Assistance and Arms Control
Ronald Reagan,10-Jun-83,Executive Order 12424,President's Commission on Strategic Forces
Ronald Reagan,16-Jun-83,Executive Order 12425,International Criminal Police Organizations
Ronald Reagan,22-Jun-83,Executive Order 12426,President's Advisory Committee on Women's Business Ownership
Ronald Reagan,27-Jun-83,Executive Order 12427,President's Advisory Council on Private Sector Initiatives
Ronald Reagan,28-Jun-83,Executive Order 12428,President's Commission on Industrial Competitiveness
Ronald Reagan,28-Jun-83,Executive Order 12429,President's Private Sector Survey on Cost Control in the Federal Government
Ronald Reagan,6-Jul-83,Executive Order 12430,Reports of Identical Bids
Ronald Reagan,8-Jul-83,Executive Order 12431,Level IV of the Executive Schedule
Ronald Reagan,14-Jul-83,Executive Order 12432,Minority Business Enterprise Development
Ronald Reagan,19-Jul-83,Executive Order 12433,National Bipartisan Commission on Central America
Ronald Reagan,19-Jul-83,Executive Order 12434,Alaska Railroad Rates
Ronald Reagan,28-Jul-83,Executive Order 12435,President's Commission on Organized Crime
Ronald Reagan,29-Jul-83,Executive Order 12436,Payment of Certain Benefits to Survivors of Persons Who Died in or as a Result of Military Service
Ronald Reagan,11-Aug-83,Executive Order 12437,Fuel Use Prohibitions
Ronald Reagan,23-Aug-83,Executive Order 12438,Review of Increases in Rates of Basic Pay for Employees of the Veterans' Administration
Ronald Reagan,8-Sep-83,Executive Order 12439,President's Task Force on Food Assistance
Ronald Reagan,8-Sep-83,Executive Order 12440,President's Commission on Industrial Competitiveness
Ronald Reagan,20-Sep-83,Executive Order 12441,Amending the Generalized System of Preferences
Ronald Reagan,21-Sep-83,Executive Order 12442,Presidential Commission on Indian Reservation Economies
Ronald Reagan,27-Sep-83,Executive Order 12443,Central Intelligence Agency Retirement and Disability System
Ronald Reagan,14-Oct-83,Executive Order 12444,Continuation of Export Control Regulations
Ronald Reagan,17-Oct-83,Executive Order 12445,Certification of Containers and Vehicles for Use in International Transport
Ronald Reagan,17-Oct-83,Executive Order 12446,Foreign Service Retirement and Disability System
Ronald Reagan,27-Oct-83,Executive Order 12447,President's Private Sector Survey on Cost Control in the Federal Government
Ronald Reagan,4-Nov-83,Executive Order 12448,Regulations Related to Voiding or Rescission of Contracts
Ronald Reagan,18-Nov-83,Executive Order 12449,National Bipartisan Commission on Central America
Ronald Reagan,9-Dec-83,Executive Order 12450,Interagency Committee on Handicapped Employees
Ronald Reagan,20-Dec-83,Executive Order 12451,Continuation of Export Control Regulations
Ronald Reagan,22-Dec-83,Executive Order 12452,Revised List of Quarantinable Communicable Diseases
Ronald Reagan,23-Dec-83,Executive Order 12453,Reports With Respect to Loans and Credits Extended to Poland
Ronald Reagan,29-Dec-83,Executive Order 12454,President's National Security Telecommunications Advisory Committee
Ronald Reagan,29-Dec-83,Executive Order 12455,President's Private Sector Survey on Cost Control in the Federal Government
Ronald Reagan,30-Dec-83,Executive Order 12456,Adjustments of Certain Rates of Pay and Allowances
Ronald Reagan,3-Jan-84,Executive Order 12457,President's Commission on Industrial Competitiveness
Ronald Reagan,14-Jan-84,Executive Order 12458,Delegation to the Secretary of State Concerning Foreign Assistance
Ronald Reagan,16-Jan-84,Executive Order 12459,Amending the Generalized System of Preferences
Ronald Reagan,24-Jan-84,Executive Order 12460,"Amendments to the Manual for Courts- Martial, United States, 1969 (Revised Edition)"
Ronald Reagan,17-Feb-84,Executive Order 12461,District of Columbia Police and Firefighters' Retirement and Disability System
Ronald Reagan,17-Feb-84,Executive Order 12462,President's Advisory Committee on Mediation and Conciliation
Ronald Reagan,23-Feb-84,Executive Order 12463,Nuclear Cooperation With EURATOM
Ronald Reagan,23-Feb-84,Executive Order 12464,Award of the Purple Heart
Ronald Reagan,24-Feb-84,Executive Order 12465,Commercial Expendable Launch Vehicle Activities
Ronald Reagan,27-Feb-84,Executive Order 12466,Reimbursement of Federal Employee Relocation Expenses
Ronald Reagan,2-Mar-84,Executive Order 12467,"International Boundary and Water Commission, United States and Mexico"
Ronald Reagan,22-Mar-84,Executive Order 12468,Presidential Advisory Council on the Peace Corps
Ronald Reagan,26-Mar-84,Executive Order 12469,East-West Foreign Trade Report
Ronald Reagan,30-Mar-84,Executive Order 12470,Continuation of Export Control Regulations
Ronald Reagan,30-Mar-84,Executive Order 12471,Amending the Generalized System of Preferences
Ronald Reagan,3-Apr-84,Executive Order 12472,Assignment of National Security and Emergency Preparedness Telecommunications Functions
Ronald Reagan,13-Apr-84,Executive Order 12473,"Manual for Courts-Martial, United States, 1984"
Ronald Reagan,17-Apr-84,Executive Order 12474,Agreement on Government Procurement
Ronald Reagan,9-May-84,Executive Order 12475,Textile Import Program Implementation
Ronald Reagan,11-May-84,Executive Order 12476,Presidential Commission on the Conduct of United States-Japan Relations
Ronald Reagan,23-May-84,Executive Order 12477,Federal Civilian and Military Pay Increases
Ronald Reagan,23-May-84,Executive Order 12478,Protection of Foreign Missions to International Organizations
Ronald Reagan,24-May-84,Executive Order 12479,Management Reform in the Federal Government
Ronald Reagan,20-Jun-84,Executive Order 12480,Establishment of Emergency Board No. 202 To Investigate a Railroad Labor Dispute
Ronald Reagan,20-Jun-84,Executive Order 12481,Establishment of Emergency Board No. 203 To Investigate a Railroad Labor Dispute
Ronald Reagan,21-Jun-84,Executive Order 12482,President's Advisory Committee on Women's Business Ownership
Ronald Reagan,25-Jun-84,Executive Order 12483,Amending the Generalized System of Preferences
Ronald Reagan,13-Jul-84,Executive Order 12484,"Amendments to the Manual for Courts- Martial, United States, 1984"
Ronald Reagan,13-Jul-84,Executive Order 12485,Central Intelligence Agency Retirement and Disability System
Ronald Reagan,24-Aug-84,Executive Order 12486,Establishment of Emergency Board No. 204 To Investigate a Railroad Labor Dispute
Ronald Reagan,14-Sep-84,Executive Order 12487,Adjustments of Certain Rates of Pay
Ronald Reagan,27-Sep-84,Executive Order 12488,Incentive Pay for Hazardous Duty
Ronald Reagan,28-Sep-84,Executive Order 12489,Continuance of Certain Federal Advisory Committees
Ronald Reagan,12-Oct-84,Executive Order 12490,National Commission on Space
Ronald Reagan,25-Oct-84,Executive Order 12491,Establishment of Emergency Board No. 205 To Investigate a Railroad Labor Dispute
Ronald Reagan,25-Oct-84,Executive Order 12492,Establishment of Emergency Board No. 206 To Investigate a Railroad Labor Dispute
Ronald Reagan,5-Dec-84,Executive Order 12493,President's Commission on Executive Exchange
Ronald Reagan,6-Dec-84,Executive Order 12494,Hazardous Duty Pay
Ronald Reagan,21-Dec-84,Executive Order 12495,Establishment of Emergency Board No. 207 To Investigate a Railroad Labor Dispute
Ronald Reagan,28-Dec-84,Executive Order 12496,Adjustments of Certain Rates of Pay and Allowances
Ronald Reagan,29-Dec-84,Executive Order 12497,President's Advisory Committee on Mediation and Conciliation
Ronald Reagan,4-Jan-85,Executive Order 12498,Regulatory Planning Process
Ronald Reagan,18-Jan-85,Executive Order 12499,President's Blue Ribbon Task Group on Nuclear Weapons Program Management
Ronald Reagan,24-Jan-85,Executive Order 12500,Delegation to the Secretary of State and the Director of the International Development Cooperation Agency Concerning Foreign Assistance
Ronald Reagan,28-Jan-85,Executive Order 12501,Arctic Research
Ronald Reagan,28-Jan-85,Executive Order 12502,Chemical Warfare Review Commission
Ronald Reagan,28-Jan-85,Executive Order 12503,Presidential Commission on Outdoor Recreation Resources Review
Ronald Reagan,31-Jan-85,Executive Order 12504,Protection of Semiconductor Chip Products
Ronald Reagan,12-Feb-85,Executive Order 12505,Conversion of Appointments in the Office of Management and Budget
Ronald Reagan,4-Mar-85,Executive Order 12506,Nuclear Cooperation With EURATOM
Ronald Reagan,22-Mar-85,Executive Order 12507,Continuance of the President's Commission on Organized Crime
Ronald Reagan,22-Mar-85,Executive Order 12508,World Tourism Organization
Ronald Reagan,14-Apr-85,Executive Order 12509,Technical Review Group on Inertial Confinement Fusion
Ronald Reagan,17-Apr-85,Executive Order 12510,Non-Foreign Area Cost-of-Living Allowances
Ronald Reagan,29-Apr-85,Executive Order 12511,President's Child Safety Partnership
Ronald Reagan,29-Apr-85,Executive Order 12512,Federal Real Property Management
Ronald Reagan,1-May-85,Executive Order 12513,Prohibiting Trade and Certain Other Transactions Involving Nicaragua
Ronald Reagan,14-May-85,Executive Order 12514,"Prescribing the Order of Succession of Officers To Act as Secretary of Defense, Secretary of the Army, Secretary of the Navy, and Secretary of the Air Force"
Ronald Reagan,14-May-85,Executive Order 12515,Generalized System of Preferences
Ronald Reagan,21-May-85,Executive Order 12516,President's Commission on Executive Exchange
Ronald Reagan,29-May-85,Executive Order 12517,"Delegation Concerning the United States- India Fund for Cultural, Educational, and Scientific Cooperation"
Ronald Reagan,3-Jun-85,Executive Order 12518,Trade in Services
Ronald Reagan,13-Jun-85,Executive Order 12519,Amending the Generalized System of Preferences
Ronald Reagan,19-Jun-85,Executive Order 12520,Quarters Allowance to Department of Defense Employees In Panama
Ronald Reagan,24-Jun-85,Executive Order 12521,Offsets in Military-Related Exports
Ronald Reagan,24-Jun-85,Executive Order 12522,Reimbursement of Federal Employee Relocation Expenses
Ronald Reagan,27-Jun-85,Executive Order 12523,National White House Conference on Small Business
Ronald Reagan,1-Jul-85,Executive Order 12524,Amending the Generalized System of Preferences
Ronald Reagan,12-Jul-85,Executive Order 12525,Termination of Emergency Authority for Export Controls
Ronald Reagan,15-Jul-85,Executive Order 12526,President's Blue Ribbon Commission on Defense Management
Ronald Reagan,7-Aug-85,Executive Order 12527,Repealing Provisions Establishing an Administrative Position in the Food-for-Peace Program
Ronald Reagan,8-Aug-85,Executive Order 12528,Presidential Board of Advisors on Private Sector Initiatives
Ronald Reagan,14-Aug-85,Executive Order 12529,President's Commission on Americans Outdoors
Ronald Reagan,29-Aug-85,Executive Order 12530,Establishment of Nicaraguan Humanitarian Assistance Office
Ronald Reagan,30-Aug-85,Executive Order 12531,Establishing an Emergency Board To Investigate a Dispute Between the United Transportation Union and Certain Railroads Represented by the National Carriers' Conference Committee of the National Railway Labor Conference
Ronald Reagan,9-Sep-85,Executive Order 12532,Prohibiting Trade and Certain Other Transactions Involving South Africa
Ronald Reagan,30-Sep-85,Executive Order 12533,President's Advisory Committee on Mediation and Conciliation
Ronald Reagan,30-Sep-85,Executive Order 12534,Continuance of Certain Federal Advisory Committees
Ronald Reagan,1-Oct-85,Executive Order 12535,Prohibition of the Importation of the South African Krugerrand
Ronald Reagan,9-Oct-85,Executive Order 12536,Board of the Foreign Service
Ronald Reagan,28-Oct-85,Executive Order 12537,President's Foreign Intelligence Advisory Board
Ronald Reagan,15-Nov-85,Executive Order 12538,Imports of Refined Petroleum Products From Libya
Ronald Reagan,3-Dec-85,Executive Order 12539,President's Council on Physical Fitness and Sports
Ronald Reagan,30-Dec-85,Executive Order 12540,Adjustments of Certain Rates of Pay and Allowances
Ronald Reagan,30-Dec-85,Executive Order 12541,Amending Executive Order 11157 as It Relates to a Basic Allowance for Quarters While on Sea Duty
Ronald Reagan,30-Dec-85,Executive Order 12542,President's Blue Ribbon Commission on Defense Management
Ronald Reagan,7-Jan-86,Executive Order 12543,Prohibiting Trade and Certain Transactions Involving Libya
Ronald Reagan,8-Jan-86,Executive Order 12544,Blocking Libyan Government Property in the United States or Held by U.S. Persons
Ronald Reagan,14-Jan-86,Executive Order 12545,National Commission on Space
Ronald Reagan,3-Feb-86,Executive Order 12546,Presidential Commission on the Space Shuttle Challenger Accident
Ronald Reagan,6-Feb-86,Executive Order 12547,Establishing Procedures for Facilitating Presidential Review of International Aviation Decisions Submitted by the Department of Transportation
Ronald Reagan,14-Feb-86,Executive Order 12548,Grazing Fees
Ronald Reagan,18-Feb-86,Executive Order 12549,Debarment and Suspension of Participants in Federal Programs
Ronald Reagan,19-Feb-86,Executive Order 12550,"Amendments to the Manual for Courts- Martial, United States, 1984"
Ronald Reagan,21-Feb-86,Executive Order 12551,The President's Export Council
Ronald Reagan,25-Feb-86,Executive Order 12552,Productivity Improvement Program for the Federal Government
Ronald Reagan,25-Feb-86,Executive Order 12553,Revocation of Various Executive Orders
Ronald Reagan,28-Feb-86,Executive Order 12554,Nuclear Cooperation With EURATOM
Ronald Reagan,10-Mar-86,Executive Order 12555,Protection of Cultural Property
Ronald Reagan,16-Apr-86,Executive Order 12556,Mailing Privileges of Members of Armed Forces of the United States and of Friendly Foreign Nations
Ronald Reagan,16-May-86,Executive Order 12557,Establishment of Emergency Board No. 209 To Investigate a Railroad Labor Dispute
Ronald Reagan,16-May-86,Executive Order 12558,Establishing an Emergency Board To Investigate a Dispute Between the Long Island Rail Road and Certain Labor Organizations Representing Its Employees
Ronald Reagan,20-May-86,Executive Order 12559,Exclusions From the Federal Labor- Management Relations Program
Ronald Reagan,24-May-86,Executive Order 12560,Administration of Foreign Relations and Related Functions
Ronald Reagan,1-Jul-86,Executive Order 12561,Delegating Certain Functions of the President Relating to Federal Civilian Employee and Contractor Travel Expenses
Ronald Reagan,15-Jul-86,Executive Order 12562,Establishment of an Emergency Board To Investigate Railroad Labor Disputes
Ronald Reagan,12-Sep-86,Executive Order 12563,Establishing an Emergency Board To Investigate a Dispute Between the Long Island Rail Road and Certain Labor Organizations Representing Its Employees
Ronald Reagan,15-Sep-86,Executive Order 12564,Drug-Free Federal Workplace
Ronald Reagan,25-Sep-86,Executive Order 12565,Prescribing a Comprehensive System of Financial Reporting for Officers and Employees in the Executive Branch
Ronald Reagan,26-Sep-86,Executive Order 12566,Safety Belt Use Requirements for Federal Employees
Ronald Reagan,2-Oct-86,Executive Order 12567,"Designation of the Inter-American Investment Corporation, the Commission for the Study of Alternatives to the Panama Canal, and the Pacific Salmon Commission as Public International Organizations"
Ronald Reagan,2-Oct-86,Executive Order 12568,Employment Opportunities for Military Spouses at Nonappropriated Fund Activities
Ronald Reagan,16-Oct-86,Executive Order 12569,"Compact of Free Association With the Republic of the Marshall Islands, the Federated States of Micronesia, and the Republic of Palau"
Ronald Reagan,24-Oct-86,Executive Order 12570,Delegating Authority To Implement Assistance for Central American Democracies and the Nicaraguan Democratic Resistance
Ronald Reagan,27-Oct-86,Executive Order 12571,Implementation of the Comprehensive Anti-Apartheid Act
Ronald Reagan,3-Nov-86,Executive Order 12572,Relations With the Northern Mariana Islands
Ronald Reagan,6-Nov-86,Executive Order 12573,Amending Executive Order No. 11157 as It Relates to Incentive Pay for Hazardous Duty
Ronald Reagan,20-Nov-86,Executive Order 12574,Establishing an Experimental Program Within the President's Commission on Executive Exchange
Ronald Reagan,1-Dec-86,Executive Order 12575,President's Special Review Board
Ronald Reagan,2-Dec-86,Executive Order 12576,Victims of Terrorism Compensation
Ronald Reagan,22-Dec-86,Executive Order 12577,"Closing of Government Departments and Agencies on Friday, December 9,6, 1986"
Ronald Reagan,31-Dec-86,Executive Order 12578,Adjustments of Certain Rates of Federal Pay and Allowances
Ronald Reagan,31-Dec-86,Executive Order 12579,President's Advisory Committee on Mediation and Conciliation
Ronald Reagan,23-Jan-87,Executive Order 12580,Superfund Implementation
Ronald Reagan,28-Jan-87,Executive Order 12581,President's Special Review Board
Ronald Reagan,2-Feb-87,Executive Order 12582,Naturalization Requirements Exceptions for Aliens and Non-Citizen Nationals of the United States Who Served in the Grenada Campaign
Ronald Reagan,19-Feb-87,Executive Order 12583,Food for Progress
Ronald Reagan,19-Feb-87,Executive Order 12584,President's Special Review Board
Ronald Reagan,3-Mar-87,Executive Order 12585,Eligibility of Overseas Employees for Noncompetitive Appointment
Ronald Reagan,3-Mar-87,Executive Order 12586,"Amendments to the Manual for Courts-Martial, United States, 1984"
Ronald Reagan,9-Mar-87,Executive Order 12587,Nuclear Cooperation With EURATOM
Ronald Reagan,18-Mar-87,Executive Order 12588,Haitian Assets Title Dispute
Ronald Reagan,18-Mar-87,Executive Order 12589,Transfer of Annual and Sick Leave of Federal Employees
Ronald Reagan,26-Mar-87,Executive Order 12590,National Drug Policy Board
Ronald Reagan,10-Apr-87,Executive Order 12591,Facilitating Access to Science and Technology
Ronald Reagan,10-Apr-87,Executive Order 12592,President's Commission on Compensation of Career Federal Executives
